485,2012-01-10,2014-04-25
870,2012-04-22,2014-07-13
458,2011-05-03,2013-02-13
934,2012-06-16,2013-06-14
921,2014-03-04,2014-03-12
999,2013-06-21,2013-08-09
378,2013-03-29,2014-08-29
236,2014-05-20,2014-11-18
254,2011-03-16,2013-09-01
329,2010-11-01,2012-10-04
166,2014-10-04,2015-03-30
652,2012-05-08,2013-01-01
956,2013-09-09,2014-10-14
269,2013-08-09,2014-08-04
777,2011-11-28,2014-07-29
846,2013-11-21,2014-05-27
124,2011-06-02,2012-10-09
580,2011-05-08,2013-08-28
209,2013-11-08,2014-01-10
420,2011-03-12,2013-11-09
96,2011-10-10,2012-11-28
463,2013-07-23,2014-05-13
217,2010-02-15,2012-09-28
812,2013-11-02,2014-09-27
10,2011-12-02,2013-01-19
493,2012-03-09,2013-10-18
276,2010-12-15,2013-07-01
682,2012-05-25,2013-03-12
995,2012-12-04,2015-01-02
579,2013-06-03,2014-05-14
107,2012-01-28,2013-03-17
397,2013-07-12,2013-10-08
118,2014-07-24,2015-02-20
450,2013-06-13,2014-06-20
461,2010-12-18,2013-06-30
410,2012-01-13,2013-06-23
343,2011-06-05,2013-01-16
546,2012-02-07,2013-02-25
671,2011-12-02,2014-04-20
114,2011-07-31,2014-02-19
410,2014-06-08,2015-05-19
490,2013-04-01,2013-11-10
315,2013-07-09,2014-12-25
237,2010-09-17,2012-12-01
236,2014-11-02,2015-06-05
187,2013-01-09,2013-05-29
505,2011-05-06,2012-09-30
654,2012-03-09,2014-02-13
595,2011-10-24,2013-03-31
421,2012-08-27,2014-12-09
606,2011-06-24,2013-06-17
551,2014-06-04,2014-11-17
32,2012-05-02,2013-10-06
585,2010-07-24,2012-11-16
408,2014-04-25,2015-06-08
676,2012-02-21,2013-08-19
107,2014-11-23,2015-05-05
506,2013-03-30,2014-10-18
556,2013-01-14,2013-10-18
262,2012-03-19,2012-10-23
973,2013-05-27,2015-03-14
510,2014-05-11,2014-06-11
893,2012-12-25,2015-03-18
829,2012-02-10,2012-12-07
87,2011-10-12,2012-11-20
452,2011-07-13,2013-03-01
971,2010-09-14,2013-03-05
909,2012-08-13,2013-10-08
93,2012-08-21,2013-04-30
720,2011-12-31,2012-12-01
698,2012-07-10,2012-10-02
807,2011-06-25,2012-09-22
442,2011-11-30,2012-09-29
845,2011-01-23,2013-09-24
250,2010-11-09,2013-05-28
790,2012-07-24,2012-09-14
164,2012-12-27,2014-04-16
343,2013-09-23,2014-09-28
985,2010-10-06,2012-12-10
778,2012-05-10,2014-03-09
919,2012-01-15,2012-12-04
333,2010-08-12,2012-11-17
818,2011-08-27,2012-10-10
204,2012-09-29,2014-04-06
883,2011-07-04,2012-10-08
342,2013-08-20,2014-03-29
93,2011-09-12,2013-02-19
537,2012-03-08,2013-11-07
8,2012-10-08,2014-01-25
796,2012-11-15,2014-12-19
649,2011-09-11,2013-04-23
656,2012-12-23,2014-07-08
641,2010-10-09,2013-06-02
700,2011-08-06,2013-05-25
874,2011-02-12,2012-10-18
338,2012-12-06,2014-09-26
138,2014-05-24,2015-02-13
524,2013-11-06,2014-08-07
449,2013-06-05,2014-06-10
110,2011-08-16,2014-02-18
139,2012-05-21,2015-02-02
689,2012-04-25,2014-11-06
798,2011-10-09,2013-06-15
793,2011-11-29,2013-07-01
510,2011-02-19,2013-06-01
517,2012-04-19,2012-12-07
992,2011-12-11,2013-10-17
678,2011-06-22,2013-04-10
81,2013-02-07,2013-04-05
915,2011-03-09,2013-09-25
85,2011-12-23,2013-06-28
342,2011-08-15,2013-02-05
337,2012-01-02,2013-03-29
452,2014-11-19,2015-04-26
144,2013-02-01,2013-11-17
48,2010-09-16,2013-04-20
780,2012-04-12,2013-03-18
675,2012-08-04,2015-01-11
824,2014-11-30,2015-01-08
193,2011-10-26,2013-01-11
941,2010-10-03,2012-11-24
121,2013-04-18,2015-01-21
624,2010-03-29,2012-09-16
720,2012-04-01,2014-11-30
836,2012-06-15,2014-06-18
808,2011-08-02,2012-12-03
641,2011-02-15,2013-06-29
421,2012-09-21,2013-10-23
767,2011-09-19,2013-03-16
884,2014-04-28,2015-03-29
765,2010-12-25,2013-04-27
772,2011-08-31,2014-02-14
896,2011-09-22,2014-05-05
400,2012-01-18,2014-05-22
523,2012-10-01,2013-10-23
845,2013-09-17,2015-05-15
161,2012-09-11,2014-03-21
790,2012-03-13,2014-05-04
360,2014-04-04,2014-10-19
457,2012-01-20,2014-05-04
443,2014-10-05,2014-10-17
161,2012-08-10,2014-02-22
339,2012-12-08,2013-07-22
985,2010-10-21,2012-12-28
120,2011-11-28,2013-11-25
559,2012-06-19,2014-04-10
153,2011-07-19,2013-11-16
728,2011-09-24,2014-02-15
969,2011-06-15,2012-09-15
